manual_id,manual_name,manual_armor_f_s_r,manual_movement,manual_weapon1,manual_nation,manual_source,CURRENT_bg_builder_id,CURRENT_bg_name,SUGGESTED_bg_id_1,SUGGESTED_bg_name_1,similarity_1,SUGGESTED_bg_id_2,SUGGESTED_bg_name_2,similarity_2,SUGGESTED_bg_id_3,SUGGESTED_bg_name_3,similarity_3,APPROVED_bg_id,NOTES
155,Churchill VII,E/I/I,"5""/8""",75mmL40,british,,122,Churchill VII,122,Churchill VII,100.00%,149,Churchill VIII,96.30%,418,Churchill II,96.00%,,
156,Churchill VIII,E/I/I,"5""/8""",95mmL20,british,,149,Churchill VIII,149,Churchill VIII,100.00%,122,Churchill VII,96.30%,418,Churchill II,92.31%,,
117,Comet,H/J/K,"12""/16""",77mmL50,british,,235,Comet,235,Comet,100.00%,113,Cromwell ARV,47.06%,395,OT-7,44.44%,,
110,Cromwell ARV,L/L/M,"12""/20""",MG,british,,113,Cromwell ARV,113,Cromwell ARV,100.00%,111,Cromwell IV or V,78.57%,112,Cromwell IV or V HQ,70.97%,,
109,Cromwell HQ,K/L/M,"12""/20""",Dummy,british,,,,113,Cromwell ARV,78.26%,112,Cromwell IV or V HQ,73.33%,111,Cromwell IV or V,66.67%,,
107,Cromwell IV,K/L/M,"12""/20""",75mmL40,british,,113,Cromwell ARV,113,Cromwell ARV,86.96%,111,Cromwell IV or V,81.48%,112,Cromwell IV or V HQ,73.33%,,
108,Cromwell V,K/L/M,"12""/20""",75mmL40,british,,113,Cromwell ARV,113,Cromwell ARV,90.91%,111,Cromwell IV or V,76.92%,112,Cromwell IV or V HQ,68.97%,,
131,Crusader AA MkI,L/N/O,"8""/12""",40mmL60,british,,129,Crusader AA I,129,Crusader AA I,92.86%,130,Crusader AA II,89.66%,322,Crusader I,80.00%,,
132,Crusader AA MkII (2x 20mm),L/N/O,"8""/12""",2x 20mm,british,,,,130,Crusader AA II,70.00%,129,Crusader AA I,66.67%,339,Crusader II CS,60.00%,,
133,Crusader AA MkII (3x 20mm),L/N/O,"8""/12""",3x 20mm,british,,,,130,Crusader AA II,70.00%,129,Crusader AA I,66.67%,339,Crusader II CS,60.00%,,
223,Crusader I,L/M/O,"9""/13""",2 pdr,british,Tobruk,322,Crusader I,322,Crusader I,100.00%,323,Crusader II,95.24%,410,Crusader III,90.91%,,
224,Crusader II,K/M/O,"9""/13""",2 pdr,british,Tobruk,323,Crusader II,323,Crusader II,100.00%,410,Crusader III,95.65%,322,Crusader I,95.24%,,
225,Crusader II CS,K/M/O,"9""/13""","3"" How",british,Tobruk,339,Crusader II CS,339,Crusader II CS,100.00%,323,Crusader II,88.00%,410,Crusader III,84.62%,,
237,Crusader III,K/M/L,"9""/13""",6 pdr,british,Torch,410,Crusader III,410,Crusader III,100.00%,323,Crusader II,95.65%,322,Crusader I,90.91%,,
134,Crusader Tractor,L/N/O,"8""/12""",,british,,152,Crusader Tractor,152,Crusader Tractor,100.00%,322,Crusader I,69.23%,129,Crusader AA I,68.97%,,
142,Daimler,M/O/O,"8""/24""",2 pdr,british,,137,Daimler,137,Daimler,100.00%,136,Daimler Dingo,70.00%,150,Loyd Carrier,52.63%,,
226,Daimler Dingo,N/O/O,"8""/12""",LMG,british,Tobruk,136,Daimler Dingo,136,Daimler Dingo,100.00%,137,Daimler,70.00%,342,Marmon Herrington I,50.00%,,
145,Dingo,N/O/O,"8""/12""",LMG,british,,,,136,Daimler Dingo,55.56%,24,Ferdinand,42.86%,258,Jagdtiger,42.86%,,
6,Dingo Scout Car,N/O/O,"9""/14""",MG,canadian,,,,84,White Scout Car,73.33%,577,White Scout Car,73.33%,134,Humber Scout Car,64.52%,,
137,Dorchester ACV,O/O/O,"6""/24""",,british,,159,Dorchester ACV,159,Dorchester ACV,100.00%,241,Voroshilovets tractor,51.43%,234,Archer,50.00%,,
42,Flakpanzer 38(t),M/O/O,"9""/15""",20mmL55,german,,194,Flakpanzer 38(t),194,Flakpanzer 38(t),100.00%,279,Panzer 38(t),85.71%,278,Panzer 35(t),78.57%,,
201,Flammpanzer I,O/O/O,"8""/12""",F'thrower,german,Tobruk,352,Flammpanzer I,352,Flammpanzer I,100.00%,292,Flammpanzer II,96.30%,5,Flammpanzer III,92.86%,,
138,Guy Lizard ACV,O/O/O,"6""/24""",,british,,,,325,Guy Lizard Armoured Command Vehicle,57.14%,471,Guy Mk I,47.62%,14,Borgward B-IV,44.44%,,
148,Guy Lizard Mk1,N/O/O,"8""/12""",MG,british,,,,471,Guy Mk I,57.14%,325,Guy Lizard Armoured Command Vehicle,48.98%,587,A10 Cruiser Mk I,41.38%,,
54,Heavy Truck,?/?/?,"6""/24""",,german,,61,Heavy Truck,61,Heavy Truck,100.00%,552,Albion Heavy Truck,75.86%,318,Heavy Repair Truck,75.86%,,
191,Heavy Truck,SS/SS/SS,"6""/24""",,italian,Tobruk,61,Heavy Truck,61,Heavy Truck,100.00%,552,Albion Heavy Truck,75.86%,318,Heavy Repair Truck,75.86%,,
232,Humber II,N/O/O,"8""/24""",15mm BESA,british,Tobruk,319,Humber II,319,Humber II,100.00%,135,Humber IV,88.89%,141,Humber LRC I,76.19%,,
16,Humber IV,M/O/O,"8""/24""",37mmL53,"canadian, british",,135,Humber IV,135,Humber IV,100.00%,319,Humber II,88.89%,141,Humber LRC I,76.19%,,
164,Humber Light Recce,O/O/O,"8""/24""",LMG,british,,,,346,Humber Light Recce Vehicle,81.82%,141,Humber LRC I,60.00%,319,Humber II,59.26%,,
17,Humber Light Recce Vehicle II,O/O/O,"8""/24""",LMG,canadian,,346,Humber Light Recce Vehicle,346,Humber Light Recce Vehicle,94.55%,141,Humber LRC I,58.54%,325,Guy Lizard Armoured Command Vehicle,50.00%,,
146,Humber Scout Car,O/O/O,"8""/24""",LMG,british,,134,Humber Scout Car,134,Humber Scout Car,100.00%,84,White Scout Car,77.42%,577,White Scout Car,77.42%,,
44,Hummel,N/O/O,"8""/12""",150mmL130,german,,30,Hummel,30,Hummel,100.00%,141,Humber LRC I,55.56%,319,Humber II,53.33%,,
193,Hvy Truck,SS/SS/SS,"6""/24""",20mmL65,italian,Tobruk,61,Heavy Truck,61,Heavy Truck,90.00%,316,Light Truck,70.00%,552,Albion Heavy Truck,66.67%,,
194,Hvy Truck,SS/SS/SS,"6""/24""",47mmL32,italian,Tobruk,61,Heavy Truck,61,Heavy Truck,90.00%,316,Light Truck,70.00%,552,Albion Heavy Truck,66.67%,,
195,Hvy Truck,SS/SS/SS,"6""/24""",75mmL46,italian,Tobruk,61,Heavy Truck,61,Heavy Truck,90.00%,316,Light Truck,70.00%,552,Albion Heavy Truck,66.67%,,
196,Hvy Truck,SS/SS/SS,"6""/24""",90mmL53,italian,Tobruk,61,Heavy Truck,61,Heavy Truck,90.00%,316,Light Truck,70.00%,552,Albion Heavy Truck,66.67%,,
234,Indian Pattern,N/O/O,"8""/24""",Boyes AT rifle,british,Tobruk,,,347,"Armoured Carrier, Indian Pattern",60.87%,192,Jagdpanther,48.00%,207,Pz-III Panzerturm,45.16%,,
8,Jeep,?/?/?,"9""/24""",,canadian,,163,Jeep,163,Jeep,100.00%,90,Gaz Jeep,66.67%,314,Armed Jeep,57.14%,,
49,Kubelwagen,?/?/?,"6""/24""",,german,,54,Kübelwagen,54,Kübelwagen,90.00%,195,Möbelwagen,80.00%,349,Captured Kübelwagen,62.07%,,
139,LVT IV Buffalo (20mm),O/O/O,"6""/10""",20mm,british,,,,570,LVT-4 Buffalo 20mm,82.05%,548,LVT-4 Buffalo,64.71%,433,T19 HMC (105mm),44.44%,,
140,LVT IV Buffalo (MG),O/O/O,"6""/10""",MG,british,,,,570,LVT-4 Buffalo 20mm,70.27%,548,LVT-4 Buffalo,68.75%,454,7TP (MG),44.44%,,
188,Light Truck,SS/SS/SS,"6""/24""",,italian,Tobruk,316,Light Truck,316,Light Truck,100.00%,304,Light Car,70.00%,61,Heavy Truck,63.64%,,
19,Loyd Carrier,O/O/O,"10""/15""",,"canadian, british",,150,Loyd Carrier,150,Loyd Carrier,100.00%,375,UE Supply Carrier,68.97%,82,Bren Carrier,66.67%,,
14,M1 Wrecker,?/?/?,"6""/24""",,canadian,,172,M1 Wrecker,172,M1 Wrecker,100.00%,132,M10 Wolverine,52.17%,158,M12 Halftrack,52.17%,,
113,M10 Achilles,M/N/O,"9""/14""",17 pdr,british,,133,M10 Achilles,133,M10 Achilles,100.00%,269,M18 Hellcat,52.17%,162,M30 Cargo Carrier,48.28%,,
112,M10 Wolverine,M/N/O,"9""/14""",76mmL53,british,,132,M10 Wolverine,132,M10 Wolverine,100.00%,432,M3 Lee,52.63%,172,M1 Wrecker,52.17%,,
177,M11/39,M/O/O,"6""/10""",37mmL40,italian,Tobruk,307,M11/39,307,M11/39,100.00%,435,M13,66.67%,309,M13/40,50.00%,,
178,M13/40,L/N/N,"5""/9""",47mmL32,italian,Tobruk,309,M13/40,309,M13/40,100.00%,435,M13,66.67%,313,M14/41,66.67%,,
179,M14/41,L/M/N,"6""/11""",47mmL32,italian,Tobruk,313,M14/41,313,M14/41,100.00%,309,M13/40,66.67%,307,M11/39,50.00%,,
122,M24 Chaffee,L/N/N,"12""/18""",75mmL40,british,,232,M24 Chaffee,232,M24 Chaffee,100.00%,158,M12 Halftrack,50.00%,114,Challenger,47.62%,,
244,M3 GMC ,N/O/O,"12""/24""",76mmL36,british,Torch,415,M3 GMC,415,M3 GMC,100.00%,272,M43 GMC,92.31%,275,M19 GMC,76.92%,,
238,M3 Grant,L/M/O,"8""/13""",37mmL53,british,Torch,85,M3 Grant,85,M3 Grant,100.00%,431,M3 Stuart,58.82%,415,M3 GMC,57.14%,,
143,M3 Scout Car,N/O/O,"8""/12""",MG,british,,,,134,Humber Scout Car,78.57%,84,White Scout Car,74.07%,577,White Scout Car,74.07%,,
235,M31 ARV,L/M/O,"8""/13""",Dummy,british,Torch,416,M31 ARV,416,M31 ARV,100.00%,161,M32 ARV,85.71%,89,M3A1 Stuart,66.67%,,
168,M3A1 Honey,M/N/N,"12""/18""",37mmL53,british,,324,M3 Honey,324,M3 Honey,88.89%,115,M3A3 'Honey',81.82%,553,M3 Honey 'Jalopy',59.26%,,
169,M3A2 Honey,M/N/N,"12""/18""",37mmL53,british,,324,M3 Honey,324,M3 Honey,88.89%,115,M3A3 'Honey',81.82%,553,M3 Honey 'Jalopy',59.26%,,
170,M3A3 Honey,M/N/N,"12""/18""",37mmL53,british,,115,M3A3 'Honey',115,M3A3 'Honey',90.91%,324,M3 Honey,88.89%,553,M3 Honey 'Jalopy',59.26%,,
3,M4 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,101,M4A4 Sherman,101,M4A4 Sherman,90.91%,106,M4 DD Sherman,86.96%,109,M4 Sherman ARV,83.33%,,
125,M4 Sherman (76mm),K/L/N,"9""/14""",76mmL53,british,,104,M4 Sherman (76mm),104,M4 Sherman (76mm),100.00%,105,M4 Sherman (105mm),85.71%,277,M4A3E2 Sherman Jumbo(76),73.17%,,
106,M4 Sherman BARV,L/L/N,"9""/14""",MG,british,,110,M4 Sherman BARV,110,M4 Sherman BARV,100.00%,109,M4 Sherman ARV,96.55%,107,M4 Sherman Crab,80.00%,,
105,M4 Sherman Crab,K/L/N,"9""/14""",75mmL40,british,,107,M4 Sherman Crab,107,M4 Sherman Crab,100.00%,109,M4 Sherman ARV,82.76%,110,M4 Sherman BARV,80.00%,,
127,M4 Sherman DD,K/L/N,"9""/14""",75mmL40,british,,,,108,M4 Sherman Dozer,82.76%,109,M4 Sherman ARV,81.48%,101,M4A4 Sherman,80.00%,,
126,M4 Sherman Dozer,K/L/N,"9""/14""",75mmL40,british,,108,M4 Sherman Dozer,108,M4 Sherman Dozer,100.00%,109,M4 Sherman ARV,80.00%,110,M4 Sherman BARV,77.42%,,
4,M4 Sherman Firefly,K/L/N,"9""/14""",17pdr,"canadian, british",,102,M4A4 Sherman Firefly,102,M4A4 Sherman Firefly,94.74%,109,M4 Sherman ARV,75.00%,110,M4 Sherman BARV,72.73%,,
2,M4A1 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,101,M4A4 Sherman,101,M4A4 Sherman,91.67%,103,M4A4 Sherman HQ,81.48%,106,M4 DD Sherman,80.00%,,
123,M4A2 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,101,M4A4 Sherman,101,M4A4 Sherman,91.67%,103,M4A4 Sherman HQ,81.48%,106,M4 DD Sherman,80.00%,,
124,M4A3 Sherman,K/L/N,"9""/14""",75mmL40,"canadian, british",,101,M4A4 Sherman,101,M4A4 Sherman,91.67%,103,M4A4 Sherman HQ,81.48%,106,M4 DD Sherman,80.00%,,
1,M4A4 Sherman,K/L/N,"8""/14""",75mmL40,"canadian, british",,101,M4A4 Sherman,101,M4A4 Sherman,100.00%,103,M4A4 Sherman HQ,88.89%,106,M4 DD Sherman,80.00%,,
15,M5 Ambulance,N/O/O,"12""/24""",,"canadian, british",,,,174,Dodge ambulance,74.07%,360,Panzer I Ambulance,66.67%,184,Austin K2 ambulance,64.52%,,
89,M5 Halftrack,N/O/O,"12""/24""",MG,"canadian, british",,83,M5 Halftrack,83,M5 Halftrack,100.00%,148,M3 Halftrack,91.67%,146,M9 Halftrack,91.67%,,
90,M5 Halftrack,N/O/O,"12""/24""",MG,canadian,,83,M5 Halftrack,83,M5 Halftrack,100.00%,148,M3 Halftrack,91.67%,146,M9 Halftrack,91.67%,,
121,M5 Recce,L/N/M,"12""/18""",MG,british,,,,172,M1 Wrecker,66.67%,117,M5 Stuart 'Recce',64.00%,432,M3 Lee,57.14%,,
118,M5A1 Stuart,L/N/N,"12""/18""",37mmL53,british,,89,M3A1 Stuart,89,M3A1 Stuart,90.91%,574,M3A1 Stuart,90.91%,116,M5 Stuart,90.00%,,
119,M5A2 Stuart,L/N/N,"12""/18""",37mmL53,british,,116,M5 Stuart,116,M5 Stuart,90.00%,89,M3A1 Stuart,81.82%,574,M3A1 Stuart,81.82%,,
120,M5A3 Stuart,L/N/N,"12""/18""",37mmL53,british,,431,M3 Stuart,431,M3 Stuart,90.00%,116,M5 Stuart,90.00%,89,M3A1 Stuart,81.82%,,
115,M7 Priest,N/O/O,"9""/14""",105mmL22,british,,,,155,Priest,80.00%,153,M35 Primer Mover,48.00%,133,M10 Achilles,47.62%,,
144,M8 Greyhound,N/O/O,"8""/24""",37mmL53,british,,142,M8 Greyhound,142,M8 Greyhound,100.00%,138,Staghound,57.14%,85,M3 Grant,50.00%,,
18,M9 Halftrack,N/O/O,"12""/24""",MG,canadian,Crucible,146,M9 Halftrack,146,M9 Halftrack,100.00%,148,M3 Halftrack,91.67%,83,M5 Halftrack,91.67%,,
228,Marmon-Herrington I,O/O/O,"8""/12""",MG,british,Tobruk,342,Marmon Herrington I,342,Marmon Herrington I,94.74%,343,Marmon Herrington II,92.31%,412,Marmon Herrington III,90.00%,,
229,Marmon-Herrington II,O/O/O,"8""/12""",Boyes AT rifle,british,Tobruk,343,Marmon Herrington II,343,Marmon Herrington II,95.00%,412,Marmon Herrington III,92.68%,342,Marmon Herrington I,92.31%,,
230,Marmon-Herrington II A (20mm),O/O/O,"8""/12""",20mmL65,british,Tobruk,,,344,Marmon Herrington II A,82.35%,345,Marmon Herrington II A,82.35%,413,Marmon Herrington III A,80.77%,,
231,Marmon-Herrington II A (37mm),O/O/O,"8""/12""",37mmL43,british,Tobruk,,,344,Marmon Herrington II A,82.35%,345,Marmon Herrington II A,82.35%,413,Marmon Herrington III A,80.77%,,
243,Marmon-Herrington III,O/O/O,"8""/12""",AT Rifle,british,Torch,412,Marmon Herrington III,412,Marmon Herrington III,95.24%,343,Marmon Herrington II,92.68%,413,Marmon Herrington III A,90.91%,,
246,Marmon-Herrington III A,O/O/O,"8""/12""",MG,british,Torch,413,Marmon Herrington III A,413,Marmon Herrington III A,95.65%,344,Marmon Herrington II A,93.33%,345,Marmon Herrington II A,93.33%,,
236,Matilda 'Scorpion',J/K/L,"5""/8""",2 pdr,british,Torch,414,Matilda Scorpion,414,Matilda Scorpion,94.12%,556,Matilda 'Frog',68.75%,469,Matilda I,66.67%,,
96,Matilda I,K/K/L,"3""/4""",MG,british,,469,Matilda I,469,Matilda I,100.00%,86,Matilda II,94.74%,330,Matilda II CS,81.82%,,
97,Matilda II,J/K/L,"5""/8""",2 pdr,british,,86,Matilda II,86,Matilda II,100.00%,469,Matilda I,94.74%,330,Matilda II CS,86.96%,,
98,Matilda II CS,J/K/L,"5""/8""","3 "" How",british,,330,Matilda II CS,330,Matilda II CS,100.00%,86,Matilda II,86.96%,469,Matilda I,81.82%,,
192,Med Truck,SS/SS/SS,"6""/24""",20mmL65,italian,Tobruk,91,Medium Truck,91,Medium Truck,85.71%,61,Heavy Truck,70.00%,585,Medium Radio Truck,66.67%,,
50,Medium Truck,?/?/?,"6""/24""",,german,,91,Medium Truck,91,Medium Truck,100.00%,585,Medium Radio Truck,80.00%,586,Medium Radio Truck,80.00%,,
190,Mediun Truck,SS/SS/SS,"6""/24""",,italian,Tobruk,91,Medium Truck,91,Medium Truck,91.67%,585,Medium Radio Truck,73.33%,586,Medium Radio Truck,73.33%,,
165,Morris CS9,O/O/O,"8""/12""",AT Rifle,british,,340,Morris CS9,340,Morris CS9,100.00%,348,Morris CDSW,85.71%,293,Morris LRC,80.00%,,
7,Motorcycle,SS/SS/SS,"10""/24""",,"canadian, british",,50,Motorcycle,50,Motorcycle,100.00%,51,Motorcycle and sidecar,62.50%,117,M5 Stuart 'Recce',44.44%,,
46,Motorcycle,?/?/?,"6""/24""",,german,,50,Motorcycle,50,Motorcycle,100.00%,51,Motorcycle and sidecar,62.50%,117,M5 Stuart 'Recce',44.44%,,
183,Motorcycle,SS/SS/SS,"10""/24""",,italian,Tobruk,50,Motorcycle,50,Motorcycle,100.00%,51,Motorcycle and sidecar,62.50%,117,M5 Stuart 'Recce',44.44%,,
47,Motorcycle and sidecar,?/?/?,"6""/24""",,german,,51,Motorcycle and sidecar,51,Motorcycle and sidecar,100.00%,50,Motorcycle,62.50%,341,Rolls Royce Armoured Car,52.17%,,
184,Motorcycle and sidecar,SS/SS/SS,"10""/24""",,italian,Tobruk,51,Motorcycle and sidecar,51,Motorcycle and sidecar,100.00%,50,Motorcycle,62.50%,341,Rolls Royce Armoured Car,52.17%,,
185,Motortrike,SS/SS/SS,"10""/24""",,italian,Tobruk,,,50,Motorcycle,60.00%,340,Morris CS9,50.00%,293,Morris LRC,50.00%,,
52,Opel Blitz,?/?/?,"6""/24""",,german,,,,59,Opel Maultier,60.87%,58,Opel Blitz (German Medium Truck),47.62%,564,Goliath,47.06%,,
53,Opel Maultier,?/?/?,"12""/16""",,german,,59,Opel Maultier,59,Opel Maultier,100.00%,181,AEC Matador,50.00%,174,Dodge ambulance,50.00%,,
80,Panther,H/K/L,"10""/14""",75mmL70,german,,10,Panther D,10,Panther D,87.50%,192,Jagdpanther,77.78%,187,Panther A/G,77.78%,,
