name,nation,year_range,vehicle_type,off_road_inches,road_inches,special_movement,armor_front,armor_side,armor_rear,armor_top,Schürzen_side,weapons,mount,ammo,special_rules,source_file,page_number
Valentine Bridgelayer,british,1944-45,Bridgelayer,5,8,Bridge,K,K,L,,,,,,Armoured bridgelayer on Valentine chassis,Battlegroup-DataCards-British.pdf,1
M4 Sherman Crab,british,1944-45,Flail mine-sweeper,9,14,Engineer,K,L,N,,,"75mmL40,MG","Turret, Co-axial",9,Flail mine-Sweeper,Battlegroup-DataCards-British.pdf,2
M4 Sherman BARV,british,1944,Recovery Vehicle,9,14,Amphib Repair,L,L,N,,,MG,Hull,,Specialist Beach Armoured Recovery Vehicle,Battlegroup-DataCards-British.pdf,2
Cromwell IV,british,1944-45,Medium Tank,12,20,,K,L,M,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",6,"Fast, cruiser Tank",Battlegroup-DataCards-British.pdf,2
Cromwell V,british,1944-45,Medium Tank,12,20,,K,L,M,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",6,"Fast, cruiser Tank",Battlegroup-DataCards-British.pdf,2
Cromwell HQ,british,1944-45,Medium Tank,12,20,,K,L,M,,,"Dummy,MG","Turret, Hull", ,Command Tank with dummy gun,Battlegroup-DataCards-British.pdf,2
Cromwell ARV,british,1944-45,Recovery Vehicle,12,20,"Recovery, Repair",L,L,M,open-topped,,MG,Hull,,Armoured recovery vehicle,Battlegroup-DataCards-British.pdf,2
Challenger,british,1944-45,Medium Tank,10,15,,K,L,M,,,"17 pdr,MG","Turret, Co-axial",4,Cromwell with new turret for 17 pdr gun *HE in 1945 only,Battlegroup-DataCards-British.pdf,2
M10 Wolverine,british,1944,Tank Destroyer,9,14,,M,N,O,open-topped,,"76mmL53,MG","Turret, Pintle",6,Mobile anti-tank gun with open turret,Battlegroup-DataCards-British.pdf,2
M10 Achilles,british,1944-45,Tank Destroyer,9,14,,M,N,O,open-topped,,"17 pdr,MG","Turret, Pintle",6,Re-armed with 17 pdr gun. *HE in 1945 only,Battlegroup-DataCards-British.pdf,2
Archer,british,1945,Tank Destroyer,6,10,,N,O,O,open-topped,,"17 pdr, LMG","Hull -r, Hull",4,17 pdr armed tank destroyer,Battlegroup-DataCards-British.pdf,2
M7 Priest,british,1944-45,SP Artillery,9,14, ,N,O,O,open-topped,,"105mmL22,MG","Hull, Pintle",7,Self-propelled 105mm artillery,Battlegroup-DataCards-British.pdf,2
Sexton,british,1944-45,Tank Destroyer,8,12, ,N,O,O,open-topped,,25 pdr,Hull,11,Self-propelled 25 pdr Gun,Battlegroup-DataCards-British.pdf,2
Comet,british,1945,Heavy Tank,12,16,,H,J,K,,,"77mmL50,MG,MG","Turret, Co-axial, Hull",6,Heavy Tank,Battlegroup-DataCards-British.pdf,2
M5A1 Stuart,british,1943-45,Light Tank,12,18,,L,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",12,Light Tank,Battlegroup-DataCards-British.pdf,3
M5A2 Stuart,british,1943-45,Light Tank,12,18,,L,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",12,Light Tank,Battlegroup-DataCards-British.pdf,3
M5A3 Stuart,british,1943-45,Light Tank,12,18,,L,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",12,Light Tank,Battlegroup-DataCards-British.pdf,3
M5 Recce,british,1944-45,Recon Tank,12,18,,L,N,M,,,"MG,MG","Pintle, Hull",,Field conversion to low profile recon vehicle by removing turret,Battlegroup-DataCards-British.pdf,3
M24 Chaffee,british,1945,Light Tank,12,18,,L,N,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",3,"Rare, modernized tank design to replace M5 Stuart",Battlegroup-DataCards-British.pdf,3
M4 Sherman,british,1944-45,Medium Tank,9,14,,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,,Battlegroup-DataCards-British.pdf,3
M4A1 Sherman,british,1944-45,Medium Tank,9,14,,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,,Battlegroup-DataCards-British.pdf,3
M4A2 Sherman,british,1944-45,Medium Tank,9,14,,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,,Battlegroup-DataCards-British.pdf,3
M4A3 Sherman,british,1944-45,Medium Tank,9,14,,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,,Battlegroup-DataCards-British.pdf,3
M4A4 Sherman,british,1944-45,Medium Tank,8,12,,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,"Chrysler engine, Most common Sherman mark in British service",Battlegroup-DataCards-British.pdf,3
M4 Sherman (76mm),british,1944-45,Medium Tank,9,14,,K,L,N,,,"76mmL53,MG,MG","Turret, Co-axial, Hull",7,Standard Sherman with improved 76mm gun,Battlegroup-DataCards-British.pdf,3
M4 Sherman Firefly,british,1944-45,Medium Tank,8,12,,K,L,N,,,"17 pdr,MG","Turret, Co-axial",7,Re-armed with 17 pdr gun. *HE in 1945 only,Battlegroup-DataCards-British.pdf,3
M4 Sherman Dozer,british,1944-45,Engineering Tank,9,14,Engineer,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,Engineering vehicle with dozerblade,Battlegroup-DataCards-British.pdf,3
M4 Sherman DD,british,1944-45,Medium Tank,9,14,Amphib,K,L,N,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",9,Specialist swimming conversion for amphibious assualts,Battlegroup-DataCards-British.pdf,3
Sherman ARV,british,1942-45,Recovery Vehicle,9,14,"Recovery, Repair",L,L,N,open-topped,,MG,Hull,,Armoured recovery vehicle on Sherman chassis,Battlegroup-DataCards-British.pdf,3
Tetrarch,british,1944-45,Light Tank,14,20,,N,O,O,,,"2 pdr,MG","Turret, Co-axial",5,Light tank used for airborne operations,Battlegroup-DataCards-British.pdf,3
Tetrarch CS,british,1944-45,Light Tank,14,20,,N,O,O,,,"3"" How,MG","Turret, Co-axial",4,Light tank used for airborne operations with light howizer,Battlegroup-DataCards-British.pdf,3
Crusader AA MkI,british,1944-45,AA Tank,8,12,,L,N,O,open-topped,,"40mmL60,MG","Turret, Hull",11,Anti-aircraft conversion of Crusader chasis,Battlegroup-DataCards-British.pdf,4
Crusader AA MkII (2x 20mm),british,1944-45,AA Tank,8,12,,L,N,O,,,"2x 20mm,MG","Turret, Hull",11,Revised Anti-aircraft conversion of Crusader chasis,Battlegroup-DataCards-British.pdf,4
Crusader AA MkII (3x 20mm),british,1944-45,AA Tank,8,12,,L,N,O,,,"3x 20mm,MG","Turret, Hull",11,Revised Anti-aircraft conversion of Crusader chasis,Battlegroup-DataCards-British.pdf,4
Crusader Tractor,british,1944-45,Tractor Tank,8,12,,L,N,O,open-topped,,,,,"Armoured, Heavy gun tow on Crusader chasis",Battlegroup-DataCards-British.pdf,4
Centaur Bulldozer,british,1945,Engineering Tank,9,14,Unrel,K,L,M,,,,,,Engineering vehicle with dozerblade,Battlegroup-DataCards-British.pdf,4
Bren Carrier,british,1940-45,Carrier,10,15,,O,O,O,open-topped,,LMG,Hull,,Small infantry transport,Battlegroup-DataCards-British.pdf,4
Wasp,british,1944-45,Carrier,10,15,,O,O,O,open-topped,,F'thrower,Hull,2,Bren carrier converted to flamethrower,Battlegroup-DataCards-British.pdf,4
Loyd Carrier,british,1944-45,Armoured tow,10,16,,O,O,O,open-topped,,,,,Armoured tow for 6 pdr anti-tank gun,Battlegroup-DataCards-British.pdf,4
Dorchester ACV,british,1941-45,Command Vehicle,6,24,Comms,O,O,O,,,,,,Armoured Command Vehicle,Battlegroup-DataCards-British.pdf,4
Guy Lizard ACV,british,1940-41,Command Vehicle,6,24,,O,O,O,,,,,,Armoured Command Vehicle,Battlegroup-DataCards-British.pdf,4
LVT IV Buffalo (20mm),british,1944-45,Carrier,6,10,amphib,O,O,O ,open-topped,,"20mm, 2 x MGs","Pintle, Pintle",10,Amphibious carrier with 20mm cannon mount,Battlegroup-DataCards-British.pdf,4
LVT IV Buffalo (MG),british,1944-45,Carrier,6,10,amphib,O,O,O ,open-topped,,"MG,MG","Pintle, Pintle",10,Amphibious carrier with MG mount,Battlegroup-DataCards-British.pdf,4
AEC III,british,1944-45,HVY Armoured Car,8,24,,K,N,O,,,"75mmL40,MG","Turret, Co-axial",4,Heavy Armoured Car,Battlegroup-DataCards-British.pdf,5
Daimler,british,1944-45,Armoured car,8,24,,M,O,O,,,"2pdr,MG","Turret, Co-axial",6,Armoured car,Battlegroup-DataCards-British.pdf,5
M3 Scout Car,british,1944-45,Scout Car,8,12,,N,O,O,open-topped,,MG,Pintle,,Lendlease armoured car and command vehicle,Battlegroup-DataCards-British.pdf,5
M8 Greyhound,british,1944-45,Armoured car,8,24,,N,O,O,open-topped,,"37mmL53,MG","Turret, Co-axial",8,US six-wheeled armoured car,Battlegroup-DataCards-British.pdf,5
Dingo,british,1940-45,Scout Car,8,12,,N,O,O,open-topped,,LMG,Hull,,Light scout vehicle,Battlegroup-DataCards-British.pdf,5
Humber Scout Car,british,1942-45,Scout Car,8,24,,O,O,O,,,LMG,Pintle,,Scout and liason vehicle,Battlegroup-DataCards-British.pdf,5
M5,british,1943-45,Halftrack,12,24,,N,O,O,open-topped,,MG,Pintle,,Halftracked armoured personnel carrier,Battlegroup-DataCards-British.pdf,5
M9 ,british,1943-45,Halftrack,12,24,,N,O,O,open-topped,,MG,Pintle,,Halftracked armoured personnel carrier,Battlegroup-DataCards-British.pdf,5
Humber IV,british,1943-45,Armoured car,8,24,,M,O,O,,,"37mmL53,MG","Turret, Co-axial",12,Armoured car,Battlegroup-DataCards-British.pdf,5
M5 Ambulance,british,1943-45,Halftrack,12,24,medic,N,O,O,open-topped,,,,,Ambulance version of M5 halftrack,Battlegroup-DataCards-British.pdf,5
Guy Lizard Mk1,british,1940,Armoured car,8,12,,N,O,O,,,"MG,MG","Turret, Co-axial",,Armoured car,Battlegroup-DataCards-British.pdf,5
Staghound,british,1944-45,Armoured car,8,24,,N,N,O,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",6,US supplied armoured car,Battlegroup-DataCards-British.pdf,5
Staghound AA,british,1944,Armoured car,8,24,,N,N,O,,,2 x MGs,Turret, ,Armoured car with anti-aircraft mount,Battlegroup-DataCards-British.pdf,5
Churchill III,british,1942-45,Heavy Tank,5,8,,I,J,J,,,"6 pdr,MG,MG","Turret, Co-axial, Hull",6,Heavy infantry tank ,Battlegroup-DataCards-British.pdf,6
Churchill IV,british,1942-45,Heavy Tank,5,8,,I,J,J,,,"6 pdr,MG,MG","Turret, Co-axial, Hull",6,Heavy infantry tank ,Battlegroup-DataCards-British.pdf,6
Churchill V,british,1942-45,Heavy Tank,5,8,,I,J,J,,,"95mmL20,MG,MG","Turret, Co-axial, Hull",5,Close support version,Battlegroup-DataCards-British.pdf,6
Churchill VI,british,1943-45,Heavy Tank,5,8,,I,J,J,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",8,Replacement main gun,Battlegroup-DataCards-British.pdf,6
Churchill VII,british,1943-45,Heavy Tank,5,8,,E,I,I,,,"75mmL40,MG,MG","Turret, Co-axial, Hull",8,Updated with improved armour,Battlegroup-DataCards-British.pdf,6
Churchill VIII,british,1944-45,Heavy Tank,5,8,,E,I,I,,,"95mmL20,MG,MG","Turret, Co-axial, Hull",5,Close support versionof Mk VII,Battlegroup-DataCards-British.pdf,6
Churchill AVRE,british,1944-45,Engineering Tank,5,8,,I,J,J,,,"280mm,MG","Turret, Hull",2,Engineer's tank with short 280mm petard mortar,Battlegroup-DataCards-British.pdf,6
Churchill Crocodile,british,1944-45,Flame Tank,5,8,,E,I,I,,,"75mmL40,MG,F'thrower","Turret, Co-axial, Hull","8,-,4",Flamethrower Tank,Battlegroup-DataCards-British.pdf,6
Churchill Ark,british,1944-45,Bridgelayer,5,8,Bridge,I,J,J,,,,,,Bridgelayer,Battlegroup-DataCards-British.pdf,6
Churchill ARV,british,1944-45,Recovery Vehicle,5,8,"Recovery, Repair",I,J,J,,,MG,Hull,,Armoured recovery vehicle,Battlegroup-DataCards-British.pdf,6
Churchill AVRE Bridge,british,1944-45,Bridgelayer,5,8,Bridge,I,J,J,,,"280mm,MG","Turret, Hull",2,Engineer's AVRE mounting a bailey bridge,Battlegroup-DataCards-British.pdf,6
Centaur IV,british,1944,Medium Tank,9,14,Unrel,K,L,M,,,"95mmL20,MG,MG","Turret, Co-axial, Hull",5,Close support tank used by Royal Marines,Battlegroup-DataCards-British.pdf,6
Centaur AA,british,1944-45,Medium Tank,9,14,Unrel,K,L,M,open-topped,,"2 x 20mm,MG","Turret, Hull",9,Anti-aircraft version with 20mm cannons,Battlegroup-DataCards-British.pdf,6
Humber Light Recce,british,1944,Armoured car,8,24,,O,O,O,,,LMG,Hull,,Converted for use as forward air controller's vehicle,Battlegroup-DataCards-British.pdf,7
Morris CS9,british,1940-41,Armoured car,8,12,,O,O,O,open-topped,,"AT Rifle, MG","Turret, Co-axial",,Light armoured car,Battlegroup-DataCards-British.pdf,7
RAM Kangaroo,british,1944-45,Carrier,9,14,,K,M,M,open-topped,,MG,Hull,,APC converted from Sherman tank hull,Battlegroup-DataCards-British.pdf,7
Sherman Kangaroo,british,1945,Carrier,9,14,,K,L,N,open-topped,,MG,Hull,,APC converted from RAM tank hull,Battlegroup-DataCards-British.pdf,7
Armoured Bulldozer,british,1944-45,Tractor,4,6,Engineer,O,O,O,,,,,,Engineering vehicle with dozerblade,Battlegroup-DataCards-British.pdf,7
M3A1 Honey,british,1942-1945,Light Tank,12,18,,M,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",10,Light Tank British Version of Stuart,Battlegroup-DataCards-British.pdf,8
M3A2 Honey,british,1942-1945,Light Tank,12,18,,M,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",10,Light Tank British Version of Stuart,Battlegroup-DataCards-British.pdf,8
M3A3 Honey,british,1942-1945,Light Tank,12,18,,M,N,N,,,"37mmL53,MG,MG","Turret, Co-axial, Hull",10,Light Tank British Version of Stuart,Battlegroup-DataCards-British.pdf,8
AVRE Fascine,british,1944-45,Bridgelayer,5,8,Bridge,I,J,J,,,"280mm,MG","Turret, Hull",2,Churchill AVRE carrying bridging fascine,Battlegroup-DataCards-British.pdf,8
