id,name,movement_REF,armor_REF,weapons_REF,special_rules_REF,ammo_1,ammo_2,ammo_3,ammo_4,mount_1,mount_2,mount_3,mount_4,year_range,vehicle_type,nation,armor_modifier,armor_side_schurzen,notes
314,Armed Jeep,6/24,//,,,,,,,,,,,,,,,,
160,Armoured Bulldozer,4/6,O/O/O,,Engineer,,,,,,,,,,,,,,
347,"Armoured Carrier, Indian Pattern",8/24,N/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
273,Armoured Jeep,6/24,O/O/O,,,,,,,,,,,,,,,,
572,Armoured Komsomolyets,10/15,O/O/O,,Light gun tow,,,,,,,,,,,,,,
502,Armoured Marmon-Herrington,6/24,O/O/O,,,,,,,,,,,,,,,,
597,Armoured Medium Truck (Opel Blitz),6/24,O/O/O,,,,,,,,,,,,,,,,
197,Armoured SdKfz 7/1,12/16,O/O/O,37mmL57,,,,,,,,,,,,,,,
184,Austin K2 ambulance,6/24,//,,Medic,,,,,,,,,,,,,,
297,Autoblinda AB41,8/12,N/O/O,,,,,,,,,,,,,,,,
310,Autoblinda-40,8/12,N/O/O,,,,,,,,,,,,,,,,
311,Autoblinda-41,8/12,N/O/O,20mmL65 Breda Cannon,,,,,,,,,,,,,,,
80,BA-10,8/24,N/O/O,45mmL46,,,,,,,,,,,,,,,
393,BA-20,8/24,N/O/O,,,,,,,,,,,,,,,,
392,BA-3,8/24,O/O/O,45mmL46,,,,,,,,,,,,,,,
81,BA-64,8/24,N/O/O,,,,,,,,,,,,,,,,
363,BAB Armoured Car,8/24,N/O/O,,,,,,,,,,,,,,,,
364,BAF Armoured Car,10/20,N/O/O,45mmL46,,,,,,,,,,,,,,,
79,BM-8-13 Katyusha,9/14,M/O/O,132mm Rocket,,,,,,,,,,,,,,,
383,BT-2,12/20,N/O/O,37mmL45,"Unreliable, One man turret",,,,,,,,,,,,,,
382,BT-2(MG),12/20,N/O/O,,"Unreliable, One man turret",,,,,,,,,,,,,,
367,BT-5,12/20,N/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
368,BT-7,15/22,N/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
384,BT-7A,15/22,N/O/O,76.2mmL16,Unreliable,,,,,,,,,,,,,,
379,BT-7M,15/22,M/O/O,45mmL46,Unreliable,,,,,,,,,,,,,,
176,Bedford MWD,6/24,//,,,,,,,,,,,,,,,,
177,Bedford OXD,6/24,//,,,,,,,,,,,,,,,,
178,Bedford OYD (Britsh Medium Truck),6/24,//,,,,,,,,,,,,,,,,
179,Bedford QLT/QLD,6/24,//,,,,,,,,,,,,,,,,
255,Bergehetzer,9/13,J/N/O,,"Recovery, Repair",,,,,,,,,,,,,,
188,Bergepanther,10/14,I/K/L,,"Recovery, Repair",,,,,,,,,,,,,,
190,Bergepanzer III,8/12,L/N/N,,"Recovery, Repair",,,,,,,,,,,,,,
411,Bishop,5/8,K/K/N,25 pdr,,,,,,,,,,,,,,,
14,Borgward B-IV,8/12,O/O/O,75mmL48 (PaK40),Remote control,,,,,,,,,,,,,,
265,Borgward B-IV Wanze,8/12,K/L/M,Panzerschreck,Multiple Hits,,,,,,,,,,,,,,
496,Brassel-Tal Heavy Truck,6/24,//,,Recovery,,,,,,,,,,,,,,
429,Breda 61,12/16,//,,,,,,,,,,,,,,,,
82,Bren Carrier,16/24,O/O/O,,,,,,,,,,,,,,,,
575,Bren Carrier,10/15,O/O/O,,,,,,,,,,,,,,,,
329,Bren Carrier with Boys AT-rifle,10/15,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
26,Brummbar,8/12,H/L(K)/M,150mmL12 (sIG33),,,,,,,,,,,,,,,
434,Bulldozer,6/9,//,,,,,,,,,,,,,,,,
450,C2P Artillery Tractor,8/10,//,,One gun tow,,,,,,,,,,,,,,
300,CV-33,9/13,N/O/O,,,,,,,,,,,,,,,,
301,CV-35,9/13,N/O/O,Solothurn AT Rifle,,,,,,,,,,,,,,,
302,CV-35cc,9/13,N/O/O,,,,,,,,,,,,,,,,
308,CV-35cr,9/13,N/O/O,,Comms,,,,,,,,,,,,,,
303,CV-35lf,9/13,N/O/O,Flamethrower,,,,,,,,,,,,,,,
371,CV3/33 Tankette,8/13,O/O/O,,,,,,,,,,,,,,,,
349,Captured Kübelwagen,6/24,//,,,,,,,,,,,,,,,,
511,Carden Loyd Tankette,6/10,N/O/O,,,,,,,,,,,,,,,,
503,Carden Loyd Tractor,10/15,O/O/O,,,,,,,,,,,,,,,,
128,Centaur AA,9/14,K/L/M,20mmL55,Unreliable,,,,,,,,,,,,,,
127,Centaur IV,9/14,K/L/M,95mmL20,Unreliable,,,,,,,,,,,,,,
114,Challenger,10/15,K/L/M,17 pdr,,,,,,,,,,,,,,,
494,Char-2C,3/4,K/L/N,75mmL32,Unreliable,,,,,,,,,,,,,,
492,Char-B,6/9,K/L/M,"47mmL28, 75mmL17",One man turret,,,,,,,,,,,,,,
493,Char-B1 bis,6/9,J/K/M,"47mmL28, 75mmL17",One man turret,,,,,,,,,,,,,,
317,Chevrolet 30 cwt,6/24,//,,,,,,,,,,,,,,,,
336,Chevrolet 30 cwt with Boys AT-rifle,6/24,//,Boys AT-rifle,,,,,,,,,,,,,,,
337,Chevrolet 30 cwt with LMG,6/24,//,,,,,,,,,,,,,,,,
338,Chevrolet 30 cwt with LMG,6/24,//,,,,,,,,,,,,,,,,
126,Churchill ARV,5/8,I/J/J,,"Repair, Recovery",,,,,,,,,,,,,,
123,Churchill AVRE,5/8,I/J/J,280mm Petard,,,,,,,,,,,,,,,
125,Churchill Ark,5/8,I/J/J,,Bridging,,,,,,,,,,,,,,
124,Churchill Crocodile,5/8,E/I/I,"Flamethrower, 75mmL40",,,,,,,,,,,,,,,
419,Churchill I,5/8,I/J/J,"2 pdr, 3"" Howitzer",Unreliable,,,,,,,,,,,,,,
418,Churchill II,5/8,I/J/J,2 pdr,,,,,,,,,,,,,,,
88,Churchill III/IV,5/8,I/J/J,6 pdr (57mmL46),,,,,,,,,,,,,,,
562,Churchill IV Fascine,5/8,I/J/J,6 pdr (57mmL46),Bridging,,,,,,,,,,,,,,
120,Churchill V,5/8,I/J/J,95mmL20,,,,,,,,,,,,,,,
121,Churchill VI,5/8,I/J/J,75mmL40,,,,,,,,,,,,,,,
122,Churchill VII,5/8,E/I/I,75mmL40,,,,,,,,,,,,,,,
149,Churchill VIII,5/8,E/I/I,95mmL20,,,,,,,,,,,,,,,
479,Citroen U23 Truck,6/24,//,,,,,,,,,,,,,,,,
235,Comet,12/16,H/J/K,77mmL50,,,,,,,,,,,,,,,
113,Cromwell ARV,12/20,L/L/M,,"Recovery, Repair",,,,,,,,,,,,,,
111,Cromwell IV or V,12/20,K/L/M,75mmL40,,,,,,,,,,,,,,,
112,Cromwell IV or V HQ,12/20,K/L/M,,,,,,,,,,,,,,,,
233,Crusader AA 'Triple',8/12,L/N/O,20mmL55,,,,,,,,,,,,,,,
129,Crusader AA I,8/12,L/N/O,40mmL60 Bofors,,,,,,,,,,,,,,,
130,Crusader AA II,8/12,L/N/O,20mmL55,,,,,,,,,,,,,,,
322,Crusader I,9/13,L/M/O,2 pdr,Unreliable,,,,,,,,,,,,,,
323,Crusader II,9/13,K/M/O,2 pdr,,,,,,,,,,,,,,,
339,Crusader II CS,9/13,K/M/O,"3"" Howitzer",,,,,,,,,,,,,,,
410,Crusader III,9/13,K/M/O,6 pdr (57mmL46),,,,,,,,,,,,,,,
152,Crusader Tractor,8/12,L/N/O,,,,,,,,,,,,,,,,
510,DAF 39,8/12,N/N/O,37mmL45 Bofors,,,,,,,,,,,,,,,
175,DUKW,6/24,//,,Amphibious,,,,,,,,,,,,,,
137,Daimler,8/24,M/O/O,2 pdr,,,,,,,,,,,,,,,
136,Daimler Dingo,8/12,N/O/O,,,,,,,,,,,,,,,,
174,Dodge ambulance,6/24,//,,Medic,,,,,,,,,,,,,,
159,Dorchester ACV,6/24,O/O/O,,Comms,,,,,,,,,,,,,,
490,FCM-36,4/6,L/M/O,37mmL21,One man turret,,,,,,,,,,,,,,
505,FN Kegresse,12/18,//,,Gun tow,,,,,,,,,,,,,,
506,FN Tricar,6/24,//,,,,,,,,,,,,,,,,
437,FT-17,3/6,N/O/O,37mmL21,,,,,,,,,,,,,,,
448,FT-17 (MG),3/6,N/O/O,,,,,,,,,,,,,,,,
24,Ferdinand,6/9,A/J/N,88mmL71 (PaK43),,,,,,,,,,,,,,,
296,Fiat L6/40,9/13,L/O/O,,,,,,,,,,,,,,,,
194,Flakpanzer 38(t),9/13,M/O/O,20mmL55,,,,,,,,,,,,,,,
250,Flammpanzer Hetzer,10/14,H/K/L,75mmL48 (PaK40),,,,,,,,,,,,,,,
352,Flammpanzer I,8/12,O/O/O,Flamethrower,,,,,,,,,,,,,,,
292,Flammpanzer II,10/14,N/O/O,Flamethrower,,,,,,,,,,,,,,,
5,Flammpanzer III,8/12,K/N/N,Flamethrower,,,,,,,,,,,,,,,
256,Flammwagen Pz B-2(f),4/8,K/K/N,"Flamethrower, 47mmL43",,,,,,,,,,,,,,,
90,Gaz Jeep,6/24,//,,,,,,,,,,,,,,,,
564,Goliath,4/5,O/O/O,,Demo Charge,,,,,,,,,,,,,,
27,Grille H,7/11,L/N/O,150mmL12 (sIG33),,,,,,,,,,,,,,,
28,Grille K,7/11,N/O/O,150mmL12 (sIG33),,,,,,,,,,,,,,,
422,Grille auf Pz II,8/12,M/N/O,150mmL12 (sIG33),Unreliable,,,,,,,,,,,,,,
325,Guy Lizard Armoured Command Vehicle,6/24,O/O/O,,,,,,,,,,,,,,,,
471,Guy Mk I,8/12,N/O/O,,,,,,,,,,,,,,,,
473,H-35,8/12,N/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
206,H-38,,M/N/N,37mmL21,,,,,,,,,,,,,,,
582,H-38 Panzerturm,,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
474,H-39,8/12,M/N/N,37mmL21,One man turret,,,,,,,,,,,,,,
318,Heavy Repair Truck,6/24,//,,"Repair, Recovery",,,,,,,,,,,,,,
61,Heavy Truck,6/24,//,,,,,,,,,,,,,,,,
428,Heavy car,6/24,//,,,,,,,,,,,,,,,,
249,Hetzer 38(t),9/13,I/N/O,75mmL48 (PaK40),,,,,,,,,,,,,,,
423,Horch Heavy car,6/24,//,,,,,,,,,,,,,,,,
25,Hornisse,8/12,N/O/O,88mmL71 (PaK43),,,,,,,,,,,,,,,
93,Horse & Limber,4/6,//,,,,,,,,,,,,,,,,
94,Horse drawn wagon,4/6,//,,,,,,,,,,,,,,,,
319,Humber II,8/12,N/O/O,15mm Besa,,,,,,,,,,,,,,,
135,Humber IV,8/24,M/O/O,37mmL53,,,,,,,,,,,,,,,
141,Humber LRC I,8/24,O/O/O,,,,,,,,,,,,,,,,
346,Humber Light Recce Vehicle,8/12,O/O/O,,,,,,,,,,,,,,,,
134,Humber Scout Car,8/24,O/O/O,,,,,,,,,,,,,,,,
30,Hummel,8/12,N/O/O,150mmL30,,,,,,,,,,,,,,,
237,IS-II,8/12,H/K/L,122mmL43,,,,,,,,,,,,,,,
238,ISU-122,8/12,H/K/L,122mmL43,,,,,,,,,,,,,,,
239,ISU-152,8/12,H/K/L,152mmL29,,,,,,,,,,,,,,,
584,Italian Medium Truck,6/24,//,,,,,,,,,,,,,,,,
192,Jagdpanther,10/14,H/L/L,88mmL71 (PaK43),,,,,,,,,,,,,,,
191,Jagdpanzer IV (L48),8/12,I/N(M)/N,75mmL48 (PaK40),,,,,,,,,,,,,,,
263,Jagdpanzer IV (L70),8/12,H/M(L)/N,75mmL70,,,,,,,,,,,,,,,
258,Jagdtiger,5/9,A/I/J,128mmL55 (PaK44),,,,,,,,,,,,,,,
163,Jeep,6/24,//,,,,,,,,,,,,,,,,
568,KV-1,6/11,I/K/L,76.2mmL42,,,,,,,,,,,,,,,
402,KV-1A (L30),6/10,H/K/L,76.2mmL30,Unreliable,,,,,,,,,,,,,,
73,KV-1E,5/10,H/K/L,76.2mmL42,Unreliable,,,,,,,,,,,,,,
569,KV-1E,5/10,H/K/L,76.2mmL42,,,,,,,,,,,,,,,
70,KV-1S,8/12,J/K/M,76.2mmL42,,,,,,,,,,,,,,,
74,KV-2,4/8,J/K/M,152mmL24,Unreliable,,,,,,,,,,,,,,
576,KV-2,4/8,H/K/L,152mmL24,Unreliable,,,,,,,,,,,,,,
408,KV-8,7/11,I/K/L,"76.2mmL42, Flamethrower",,,,,,,,,,,,,,,
230,KV-85,8/12,H/K/l,85mmL54,,,,,,,,,,,,,,,
52,Kettenkrad,14/22,//,,,,,,,,,,,,,,,,
463,Kfz 13,8/24,O/O/O,,,,,,,,,,,,,,,,
467,Kfz 14,8/24,O/O/O,,,,,,,,,,,,,,,,
240,Komintern tractor,12/16,//,,Medium gun tow,,,,,,,,,,,,,,
95,Komsomolyets tractor,12/16,//,,Light gun tow,,,,,,,,,,,,,,
459,Krüpp Protze Kfz69,12/16,//,,,,,,,,,,,,,,,,
57,Krüpp Protze Kfz70,6/24,//,,,,,,,,,,,,,,,,
54,Kübelwagen,6/24,//,,,,,,,,,,,,,,,,
549,LVT(A)-1,5/10,N/O/O,37mmL53,"Amphibious, Unreliable",,,,,,,,,,,,,,
547,LVT(A)-2,5/10,N/O/O,,"Amphibious, Unreliable",,,,,,,,,,,,,,
550,LVT(A)-4,5/10,L/N/O,75mmL16,Amphibious,,,,,,,,,,,,,,
551,LVT(A)-4 Flamethrower,5/10,L/N/O,Flamethrower,Amphibious,,,,,,,,,,,,,,
539,LVT-1,4/6,//,,"Amphibious, Unreliable",,,,,,,,,,,,,,
540,LVT-2,6/9,//,,"Amphibious, Unreliable",,,,,,,,,,,,,,
583,LVT-4,5/10,N/O/O,,Amphibious,,,,,,,,,,,,,,
548,LVT-4 Buffalo,6/10,O/O/O,,Amphibious,,,,,,,,,,,,,,
570,LVT-4 Buffalo 20mm,6/10,O/O/O,20mm,Amphibious,,,,,,,,,,,,,,
440,Laffly 50AM,8/24,O/O/O,37mmL21,,,,,,,,,,,,,,,
480,Laffly S15 Heavy Car,6/24,//,,,,,,,,,,,,,,,,
481,Laffly S20TL Truck,6/24,//,,,,,,,,,,,,,,,,
486,Laffly W15TCC Tank Hunter,12/18,//,47mmL53 SA37 APX,,,,,,,,,,,,,,,
350,Lancia 3RO Heavy Truck,6/24,//,,,,,,,,,,,,,,,,
541,Landing Craft Assault (LCA),9/0,//,,,,,,,,,,,,,,,,
557,Landing Craft Control (LCC),9/0,//,,2 x twin .50 cal HMGs,,,,,,,,,,,,,,
560,Landing Craft Flak (LCF),6/0,//,"2 pdr, 20mm","4 x 2 pdrs, 8 x 20mm cannon",,,,,,,,,,,,,,
559,Landing Craft Gun (LCG),6/0,//,"4.7"" naval gun","2 x 4.7"" guns""",,,,,,,,,,,,,,
558,Landing Craft Infantry (LCI),6/0,//,20mm,4 x 20mm Cannons,,,,,,,,,,,,,,
543,Landing Craft Mechanised (LCM),6/0,//,,OR 1 vehicle/gun,,,,,,,,,,,,,,
546,Landing Craft Rocket (LCR),6/0,//,"5"" Rocket",Drenching barrage,,,,,,,,,,,,,,
545,Landing Craft Support (LCS),9/0,//,,3 x .50 cal HMGs,,,,,,,,,,,,,,
544,Landing Craft Tank (LCT),6/0,//,2 pdr,4 vehicle capacity,,,,,,,,,,,,,,
542,Landing Craft Vehicle Personnel (LCVP),9/0,//,,2 x .30 cal MMGs,,,,,,,,,,,,,,
561,Landing Ship Tank (LST),6/0,//,"40mmL60 Bofors, 20mm","1 x 40mm cannon, 6 x 20mm cannon, 14 vehicles",,,,,,,,,,,,,,
508,Landsverk M36,9/14,N/N/O,37mmL45 Bofors,,,,,,,,,,,,,,,
509,Landsverk M38,9/14,N/N/O,37mmL45 Bofors,,,,,,,,,,,,,,,
507,Latil Tractor,6/24,//,,Gun tow,,,,,,,,,,,,,,
180,Leyland Hippo,6/24,//,,,,,,,,,,,,,,,,
304,Light Car,6/24,//,,,,,,,,,,,,,,,,
316,Light Truck,6/24,//,,,,,,,,,,,,,,,,
478,Lorraine Carrier 37L,8/11,O/O/O,47mmL53 SA37 APX,,,,,,,,,,,,,,,
495,Lorraine Carrier 37L CC with 47mmL,8/11,O/O/O,47mmL53 SA37 APX,,,,,,,,,,,,,,,
491,Lorraine Carrier 38L,8/11,O/O/O,,,,,,,,,,,,,,,,
220,Lorraine Schlepper Beobachtungswagen,9/13,L/N/N,,,,,,,,,,,,,,,,
150,Loyd Carrier,10/15,O/O/O,,,,,,,,,,,,,,,,
172,M1 Wrecker,6/24,//,,Recovery,,,,,,,,,,,,,,
133,M10 Achilles,9/14,M/N/O,17 pdr,,,,,,,,,,,,,,,
132,M10 Wolverine,9/14,M/N/O,"76mmL53 (3"")",,,,,,,,,,,,,,,
307,M11/39,6/10,M/O/O,37mmL40,,,,,,,,,,,,,,,
158,M12 Halftrack,8/12,O/O/O,155mmL45,,,,,,,,,,,,,,,
435,M13,,//,,,,,,,,,,,,,,,,
309,M13/40,5/9,L/N/N,47mmL32,,,,,,,,,,,,,,,
313,M14/41,6/11,L/M/N,47mmL32,,,,,,,,,,,,,,,
145,M15,12/24,N/O/O,37mmL53,,,,,,,,,,,,,,,
144,M16,12/24,N/O/O,,,,,,,,,,,,,,,,
245,M17 MGMC,8/24,N/O/O,,,,,,,,,,,,,,,,
269,M18 Hellcat,14/24,M/N/O,"76mmL53 (3"")",,,,,,,,,,,,,,,
275,M19 GMC,12/18,M/N/O,40mmL60 Bofors,,,,,,,,,,,,,,,
143,M20 Utility Car,8/24,N/O/O,,,,,,,,,,,,,,,,
232,M24 Chaffee,12/18,L/N/N,75mmL40,,,,,,,,,,,,,,,
266,M26 Pershing,8/12,H/L/M,90mmL53,,,,,,,,,,,,,,,
169,M29 Water Weasel,12/18,//,,Amphibious,,,,,,,,,,,,,,
415,M3 GMC,12/24,N/O/O,75mmL36,,,,,,,,,,,,,,,
85,M3 Grant,8/13,L/M/O,"37mmL53, 75mmL30",,,,,,,,,,,,,,,
148,M3 Halftrack,12/24,N/O/O,,,,,,,,,,,,,,,,
324,M3 Honey,12/18,M/N/N,37mmL53,,,,,,,,,,,,,,,
553,M3 Honey 'Jalopy',12/18,M/N/N,,,,,,,,,,,,,,,,
432,M3 Lee,8/13,L/M/O,"37mmL53, 75mmL30",,,,,,,,,,,,,,,
431,M3 Stuart,12/18,M/N/N,37mmL53,,,,,,,,,,,,,,,
537,M3 Stuart 'Satan',12/18,M/N/N,37mmL53,,,,,,,,,,,,,,,
162,M30 Cargo Carrier,8/12,O/O/O,,Resupply,,,,,,,,,,,,,,
416,M31 ARV,8/13,L/M/O,,"Repair, Recovery",,,,,,,,,,,,,,
161,M32 ARV,8/12,L/M/O,,"Recovery, Repair",,,,,,,,,,,,,,
153,M35 Primer Mover,9/14,M/N/O,,,,,,,,,,,,,,,,
268,M36 Jackson,9/14,M/N/O,90mmL53,,,,,,,,,,,,,,,
89,M3A1 Stuart,12/18,L/N/M,37mmL53,,,,,,,,,,,,,,,
574,M3A1 Stuart,12/18,M/N/N,37mmL53,,,,,,,,,,,,,,,
115,M3A3 'Honey',12/18,M/N/N,37mmL53,,,,,,,,,,,,,,,
106,M4 DD Sherman,9/14,K/L/N,75mmL40,Duplex drive,,,,,,,,,,,,,,
170,M4 High Speed Tractor,10/15,//,,Medium gun tow,,,,,,,,,,,,,,
538,M4 Sherman 'Zippo',9/14,K/L/N,"75mmL40, Flamethrower",,,,,,,,,,,,,,,
105,M4 Sherman (105mm),9/14,K/L/N,105mmL22,,,,,,,,,,,,,,,
104,M4 Sherman (76mm),9/14,K/L/N,"76mmL53 (3"")",,,,,,,,,,,,,,,
100,"M4 Sherman (A1,A2,A3)",9/14,K/L/N,75mmL40,,,,,,,,,,,,,,,
109,M4 Sherman ARV,9/14,K/L/N,,"Recovery, Repair",,,,,,,,,,,,,,
110,M4 Sherman BARV,9/14,K/L/N,,"Amphibious, Repair",,,,,,,,,,,,,,
270,M4 Sherman Calliope,9/14,K/L/M,"75mmL40, 4.5"" Rocket",,,,,,,,,,,,,,,
107,M4 Sherman Crab,9/14,K/L/N,75mmL40,Engineer,,,,,,,,,,,,,,
274,M4 Sherman Crocodile,9/14,K/L/M,"Flamethrower, 75mmL40",,,,,,,,,,,,,,,
108,M4 Sherman Dozer,9/14,K/L/N,75mmL40,Engineer,,,,,,,,,,,,,,
571,M4 Sherman Mineroller,9/14,K/L/N,75mmL40,Engineer,,,,,,,,,,,,,,
157,M4 or M21 Halftrack,12/24,N/O/O,"3"" mortar",,,,,,,,,,,,,,,
271,M40 GMC,8/12,O/O/O,155mmL36,,,,,,,,,,,,,,,
272,M43 GMC,8/12,O/O/O,"8"" (230mmL50)",,,,,,,,,,,,,,,
276,M4A3E2 Sherman Jumbo,7/11,G/K/M,75mmL40,,,,,,,,,,,,,,,
277,M4A3E2 Sherman Jumbo(76),7/11,G/K/M,"76mmL53 (3"")",,,,,,,,,,,,,,,
267,M4A3E8,10/15,K/L/M,"76mmL53 (3"")",,,,,,,,,,,,,,,
101,M4A4 Sherman,8/12,K/L/N,75mmL40,,,,,,,,,,,,,,,
102,M4A4 Sherman Firefly,8/12,K/L/N,17 pdr,,,,,,,,,,,,,,,
103,M4A4 Sherman HQ,8/12,K/L/N,,,,,,,,,,,,,,,,
83,M5 Halftrack,12/24,N/O/O,,,,,,,,,,,,,,,,
171,M5 High Speed Tractor,10/15,//,,Heavy gun tow,,,,,,,,,,,,,,
116,M5 Stuart,12/18,L/N/M,37mmL53,,,,,,,,,,,,,,,
117,M5 Stuart 'Recce',12/18,L/N/M,,,,,,,,,,,,,,,,
436,M6 GMC Portee'd 37mm,6/24,//,37mmL53,,,,,,,,,,,,,,,
142,M8 Greyhound,8/24,N/O/O,37mmL53,,,,,,,,,,,,,,,
156,M8 HMC,12/18,L/N/N,75mmL16,,,,,,,,,,,,,,,
146,M9 Halftrack,12/24,N/O/O,,,,,,,,,,,,,,,,
20,Marder II,8/12,N/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
23,Marder III (38t PaK 36r),9/13,L/N/O,76.2mmL54 Zis3,,,,,,,,,,,,,,,
21,Marder III H,8/12,L/N/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
22,Marder III M,9/13,N/O/O,75mmL46 (PaK40),,,,,,,,,,,,,,,
342,Marmon Herrington I,8/12,O/O/O,,,,,,,,,,,,,,,,
343,Marmon Herrington II,8/12,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
344,Marmon Herrington II A,8/12,O/O/O,20mmL65 Breda Cannon,,,,,,,,,,,,,,,
345,Marmon Herrington II A,8/12,O/O/O,37mmL43 (PaK36),,,,,,,,,,,,,,,
412,Marmon Herrington III,8/12,O/O/O,Boys AT-rifle,,,,,,,,,,,,,,,
413,Marmon Herrington III A,8/12,O/O/O,,,,,,,,,,,,,,,,
504,Marmon-Herrington Car,6/24,//,,,,,,,,,,,,,,,,
556,Matilda 'Frog',5/8,J/K/L,Flamethrower,flamethrower_turret,,,,,,,,,,,,,,
555,Matilda Dozer,5/8,J/K/L,2 pdr,Engineer,,,,,,,,,,,,,,
469,Matilda I,3/4,K/K/L,,,,,,,,,,,,,,,,
86,Matilda II,5/8,J/K/L,2 pdr,,,,,,,,,,,,,,,
330,Matilda II CS,5/8,J/K/L,"3"" Howitzer",,,,,,,,,,,,,,,
414,Matilda Scorpion,5/8,J/K/L,2 pdr,"Engineer, Unreliable",,,,,,,,,,,,,,
585,Medium Radio Truck,6/24,//,,,,,,,,,,,,,,,,
586,Medium Radio Truck,6/24,//,,,,,,,,,,,,,,,,
91,Medium Truck,6/24,//,,,,,,,,,,,,,,,,
320,Medium Truck with LMG,6/24,//,,,,,,,,,,,,,,,,
315,Morris C8 Tractor,8/24,//,,Gun tow,,,,,,,,,,,,,,
348,Morris CDSW,8/24,//,,Gun tow,,,,,,,,,,,,,,
