ammunition_count,line_number,potential_vehicles,context
92,7678,88mm,"wide ring that accommodated the horseshoe-shaped turret. The turret mounted the 88mm KwK36 L/56 gun and a coaxial MG34, with 92 rounds for the former being accommodated. Early vehicles proved underpowered and in May 1943, starting with vehicle 425, the 600-hp engine"
72,7708,88mm,"longer, necessitating an extra pair of road wheels each side. The turret was made narrower and mounted the more powerful 88mm KwK43 L/71 gun (for which 72 rounds were carried) along with the coaxial MG34. A second machine gun was ball-mounted in the hull front for use by"
54,7806,80mm,"was increased to 80mm. The gun had a traverse of 10° each side of center, elevation of-6° to +20°, and was provided with 54 rounds of ammunition. Starting in early 1 943 an external"
54,7806,80mm,"was increased to 80mm. The gun had a traverse of 10° each side of center, elevation of-6° to +20°, and was provided with 54 rounds of ammunition. Starting in early 1 943 an external"
60,7984,Panzer IV,elevation of—5° to + 15°. The (V) model carried 60 rounds of ammunition and the (A) model 90 rounds. The Panzer IV/70 was nose-heavy as a
57,8024,90mm,"into which the powerful gun could be mounted. The main armament was the 8.8cm Pak43 L/7 with a traverse of 13° each side and elevation of -8° to +15°, and for which 57 rounds were carried. A light MG was carried in a hull mount on the superstructure front, along with a 90mm"
86,8149,47mm,"to +12°. A fixed shield was provided, but was open at the back and top. No secondary armament was provided. A total of 86 rounds of 47mm were carried. The gun was powerful"
37,8207,"SdKfz 32, 75mm","could elevate from -8° to +10°. A light MG was usually carried, but could be pintle-mounted for AA defense, and 37 rounds of 75mm ammunition was carried. The SdKfz 32 was 1"
40,8246,88mm,"the much-feared 88mm Pak43 L/71 gun, which was provided with a traverse of 30° total and an elevation of-5° to +20°. 40 rounds of ammunition were carried. Secondary armament was a single light MG that could be"
180,8578,"SdKfz 232, 20mm","with a 20mm KwK and a coaxial light machine gun in a turret and carried 180 rounds for the main gun, which could elevate from -l-° to +26°. The difference between the two was that the SdKfz 232"
180,8578,"SdKfz 232, 20mm","with a 20mm KwK and a coaxial light machine gun in a turret and carried 180 rounds for the main gun, which could elevate from -l-° to +26°. The difference between the two was that the SdKfz 232"
60,8686,1mm,"units (250/4 and 250/5), a carrier for 70 rounds of short or 60 rounds of long 7.5cm ammunition for assault guns (250/6), 8 1mm mortar carrier with 42"
216,8718,SdKfz 250,"Light Armored Half-Track SdKfz 250 (continued) role (250/9), with 3.7cm Pak pintle-mounted forward with 216 rounds (250/10), with 2.8cm sPzB gun pintle-mounted forward (250/1 1), and"
216,8718,SdKfz 250,"Light Armored Half-Track SdKfz 250 (continued) role (250/9), with 3.7cm Pak pintle-mounted forward with 216 rounds (250/10), with 2.8cm sPzB gun pintle-mounted forward (250/1 1), and"
66,8774,SdKfz 25,"amenable to modification to a wide variety of roles. The main ones were: APC (SdKfz 25 1/1), 8 1 mm mortar carrier with 66 rounds (251/2), radio vehicle (251/3), as a tractor for the 7.5cm leIG infantry gun"
66,8774,SdKfz 25,"amenable to modification to a wide variety of roles. The main ones were: APC (SdKfz 25 1/1), 8 1 mm mortar carrier with 66 rounds (251/2), radio vehicle (251/3), as a tractor for the 7.5cm leIG infantry gun"
208,9147,"20mm, 8mm","original Scania model, and the unfortunate choice of the 20mm 36M anti-tank rifle with 208 rounds as the main armament, paired with a coaxial 8mm machine gun. The original A20 model was succeeded by the B20 Toldi II,"
55,9168,"40mm, 8mm","Retrofitted vehicles were designated the Toldi Ila and were armed with the 40mm 42M gun with 55 rounds and a coaxial 8mm machine Weight (tonnes) 8.5 Front Armor (mm) 13 gun. Unfortunately, by the time the Toldi Ila"
55,9168,"40mm, 8mm","Retrofitted vehicles were designated the Toldi Ila and were armed with the 40mm 42M gun with 55 rounds and a coaxial 8mm machine Weight (tonnes) 8.5 Front Armor (mm) 13 gun. Unfortunately, by the time the Toldi Ila"
101,9193,"40mm, 8mm","accommodate three men, an important boost to efficiency. The main weapon was the 40mm 41M gun for which 101 rounds were carried. Two 8mm MG 34/40 Gebauer machine guns were carried, one coaxial and one in the"
52,9270,105mm,"engine and suspension. The armament was a 105mm 40/43M howitzer fitted in a ball mount and provided with 52 rounds of HE and AP ammunition. The ammunition was of the separate loading type, which slowed the rate of"
52,9270,105mm,"engine and suspension. The armament was a 105mm 40/43M howitzer fitted in a ball mount and provided with 52 rounds of HE and AP ammunition. The ammunition was of the separate loading type, which slowed the rate of"
200,9306,"20mm, 8mm","drive system and two drivers, one facing forward the other rear. The two-man turret mounted a 20mm 36M anti-tank rifle with 200 rounds and a coaxial 8mm 34/37A machine gun with 3,000 rounds. Of 93 Csabas built, 12 were command"
200,9306,"20mm, 8mm","drive system and two drivers, one facing forward the other rear. The two-man turret mounted a 20mm 36M anti-tank rifle with 200 rounds and a coaxial 8mm 34/37A machine gun with 3,000 rounds. Of 93 Csabas built, 12 were command"
296,9924,"20mm, 8mm","limited cross-country speed. The armament consisted of a 20mm Breda 35 gun autocannon with 296 rounds, with a coaxial 8mm Breda 38 machine gun. L 6s were fitted to accommodate the RF-l-CA radio, but it is not clear if all were"
296,9924,"20mm, 8mm","limited cross-country speed. The armament consisted of a 20mm Breda 35 gun autocannon with 296 rounds, with a coaxial 8mm Breda 38 machine gun. L 6s were fitted to accommodate the RF-l-CA radio, but it is not clear if all were"
70,10120,47mm,"three: commander/gunner, loader and driver. The sole armament was the 47mm L/32 gun used on the medium tanks, for which 70 rounds of ammunition were carried, and it had a total"
96,11529,"lee, 37mm, 92mm","in the front and the commander/gunner behind him. The small turret accommodated the shorr 37mm SAI 8 gun, for which 96 rounds were provided, in about a third of the fleet. The remainder were armed with a 7.92mm wz.25"
180,12485,"20mm, 62mm",non-amphibious T-60 light tank. Armor was thicker and it was aimed with a 20mm TNSh- gun with 180 rounds and a coaxial 7.62mm DT. Shortages of the normal GAZ-202 engine led to
180,12485,"20mm, 62mm",non-amphibious T-60 light tank. Armor was thicker and it was aimed with a 20mm TNSh- gun with 180 rounds and a coaxial 7.62mm DT. Shortages of the normal GAZ-202 engine led to
48,13009,85mm,"ammunition. Fort)' rounds were carried for the howitzer. It was replaced in production by the SU-85, which substituted the 85mm D-5S gun (with 48 rounds) for the howitzer, turning it"
48,13009,85mm,"ammunition. Fort)' rounds were carried for the howitzer. It was replaced in production by the SU-85, which substituted the 85mm D-5S gun (with 48 rounds) for the howitzer, turning it"
20,13149,7mm,"1 .5 to 3 rounds per minute and the vehicle was designated the ISU-l 22S. The ISU-l 52 carried 20 rounds and the ISU-l 22 30 rounds of ammunition. Both had provision for a 1 2.7mm DShK AA machine gun, Both were employed"
30,13149,7mm,"1 .5 to 3 rounds per minute and the vehicle was designated the ISU-l 22S. The ISU-l 52 carried 20 rounds and the ISU-l 22 30 rounds of ammunition. Both had provision for a 1 2.7mm DShK AA machine gun, Both were employed"
43,13256,45mm,"turret to the rear. Main armament was the 45mm Ml 938 gun, with an elevation of-2° to +20° and for which 43 rounds were carried. Secondary armament was DT machine gun"
43,13817,105mm,"chassis, so the four-man crew must have been rather cramped, when combined with the 105mm gun and 43 rounds of ammunition. The armor was actually somewhat thin for an"
103,15363,37mm,"pressure. The main production version, the M2A4, featured a single turret with a 37mm gun (with 103 rounds) and coaxial ,30cal MG. The gun had 10° of traverse on the mount to"
103,15363,37mm,"pressure. The main production version, the M2A4, featured a single turret with a 37mm gun (with 103 rounds) and coaxial ,30cal MG. The gun had 10° of traverse on the mount to"
48,15588,75mm,"torsion-bar suspension good cross-country mobility. The armament consisted of a 75mm M6 gun (for which 48 rounds were provided) and a coaxial ,30cal MG in the turret, a second .30cal in a ball mount, and a .50cal on an AA"
200,15681,"37mm, 37mm","Surmounting this was a turret with a 37mm M6 gun and a coaxial machine gun. Ammunition stowage was 200 rounds for the 37mm and no fewer than 12,250 rounds of .30cal. The crew"
250,15682,"37mm, 37mm","Surmounting this was a turret with a 37mm M6 gun and a coaxial machine gun. Ammunition stowage was 200 rounds for the 37mm and no fewer than 12,250 rounds of .30cal. The crew comprised a driver, tour gunners and the"
97,15781,75mm,"The basic version of each of these was armed with a 75mm M3 gun (for which 97 rounds were stowed) and a MG in the turret, a second .30cal MG in a"
71,15796,76mm,"production started on versions of the Al , A2 and A3 with 76mm M 1 guns. These used a different turret that had been developed for the abortive T23 tank and carried 71 rounds of main gun ammunition in wet stowage."
71,15796,76mm,"production started on versions of the Al , A2 and A3 with 76mm M 1 guns. These used a different turret that had been developed for the abortive T23 tank and carried 71 rounds of main gun ammunition in wet stowage."
1,17023,Sherman,"actually made it to Chinese forces in Burma. In Denmark Eire their place the British, reluctantly, provided 1 16 Other than a few extemporized armored trucks, Britain handed over thirteen Rolls Royce Shermans in late 1944 for three battalions for Denmark's first armored vehicles were armored cars to"
